uid,section,moderate,minimum
0,1,37.739824,5.091288
0,2,36.319067,5.675096
0,3,36.912618,6.098653
0,4,38.051556,5.967903
0,5,36.211509,5.844149
0,6,35.162415,4.796130
0,7,43.448533,4.826697
0,8,40.661973,4.619616
0,9,40.771612,4.877736
0,10,41.616437,2.960534
1,1,36.282603,5.590135
1,2,36.886574,6.475996
1,3,37.933781,5.620664
1,4,37.167191,5.251557
1,5,37.167260,5.388227
1,6,37.238594,5.015305
1,7,40.613993,5.587675
1,8,39.963794,3.894006
1,9,41.417601,4.448620
1,10,42.361723,3.881187
2,1,36.623893,4.797448
2,2,37.772831,5.606789
2,3,36.676068,6.276220
2,4,36.573178,5.356366
2,5,36.454127,4.859867
2,6,37.064512,5.676808
2,7,41.569299,5.288929
2,8,40.724932,3.998965
2,9,41.380266,4.393649
2,10,42.297173,4.960871
3,1,37.975701,4.504167
3,2,36.065730,5.752679
3,3,37.636665,4.722827
3,4,37.745606,5.380881
3,5,37.595273,5.340482
3,6,36.282871,4.824927
3,7,41.994513,5.333864
3,8,38.666116,4.121489
3,9,41.305582,4.634260
3,10,41.942221,5.305114
4,1,37.624432,5.806136
4,2,36.234488,5.093492
4,3,35.290544,5.141926
4,4,36.642709,4.759203
4,5,39.004321,6.280587
4,6,38.887578,7.228392
4,7,40.381476,4.575003
4,8,39.317113,3.224028
4,9,41.380419,4.963173
4,10,42.341466,4.108688
5,1,36.279942,4.578091
5,2,37.615918,5.056235
5,3,36.667584,5.670892
5,4,36.826372,5.464795
5,5,36.748562,6.115363
5,6,37.705693,4.805115
5,7,40.230973,5.443219
5,8,39.207031,3.688441
5,9,42.505837,3.883003
5,10,42.736764,5.198937
6,1,37.859914,6.436390
6,2,37.486078,5.018995
6,3,36.655630,5.905623
6,4,36.652498,5.624685
6,5,37.796127,5.017734
6,6,37.601980,4.997096
6,7,40.280460,4.254525
6,8,38.733081,4.073007
6,9,40.773923,3.563949
6,10,43.105526,5.864120
7,1,36.395090,5.841042
7,2,37.427997,5.586509
7,3,36.900120,5.869724
7,4,36.974903,4.567367
7,5,35.732575,5.339586
7,6,36.082764,4.979854
7,7,41.861095,4.921363
7,8,41.481791,4.548218
7,9,40.468760,4.387464
7,10,43.159223,3.569622
8,1,36.857853,4.774472
8,2,37.086539,4.515997
8,3,37.321225,4.259353
8,4,36.540738,6.900542
8,5,37.212417,5.477854
8,6,37.327103,6.463472
8,7,41.272335,4.528360
8,8,40.165060,4.711747
8,9,41.113798,4.709931
8,10,42.105653,4.598799
9,1,37.988019,5.459677
9,2,35.685805,6.001990
9,3,35.827094,5.889926
9,4,37.177447,5.123677
9,5,38.172985,5.958521
9,6,37.490209,4.142110
9,7,42.738600,5.425187
9,8,39.774965,3.633411
9,9,39.603808,5.059049
9,10,42.567900,4.159820
