"","mode1","mode2","duration_pooled_sd","duration_cohen_d","duration_mean.x","duration_sd.x","N.x","duration_ci95.x","duration_mean.y","duration_sd.y","N.y","duration_ci95.y"
"1","Fully open","No meter",3.46429394306037,0.0699874734897564,8.57348484848485,3.47907828170561,22,1.45381428455709,8.81594202898551,3.45012252110386,24,1.38033648870889
"2","Fully open","Unlimited meter",3.57044138315582,0.419104190716143,8.57348484848485,3.47907828170561,22,1.45381428455709,10.0698717948718,3.64541727296301,26,1.40125328721739
"3","Fully open","High limit",3.3957554833984,0.724389166674252,8.57348484848485,3.47907828170561,22,1.45381428455709,11.0333333333333,3.32415068517926,26,1.27776238658884
"4","Fully open","Low limit",3.8185138109563,0.123462349774497,8.57348484848485,3.47907828170561,22,1.45381428455709,9.04492753623188,4.11649317136126,24,1.64694027391611
"5","No meter","Unlimited meter",3.55533843852181,0.35268928333237,8.81594202898551,3.45012252110386,24,1.38033648870889,10.0698717948718,3.64541727296301,26,1.40125328721739
"6","No meter","High limit",3.38370011333515,0.655315551046944,8.81594202898551,3.45012252110386,24,1.38033648870889,11.0333333333333,3.32415068517926,26,1.27776238658884
"7","No meter","Low limit",3.79795085806096,0.0602918562677989,8.81594202898551,3.45012252110386,24,1.38033648870889,9.04492753623188,4.11649317136126,24,1.64694027391611
"8","Unlimited meter","High limit",3.48848426052024,0.276183427101906,10.0698717948718,3.64541727296301,26,1.40125328721739,11.0333333333333,3.32415068517926,26,1.27776238658884
"9","Unlimited meter","Low limit",3.87306033817405,-0.264634208906521,10.0698717948718,3.64541727296301,26,1.40125328721739,9.04492753623188,4.11649317136126,24,1.64694027391611
"10","High limit","Low limit",3.71612586273533,-0.535074933021199,11.0333333333333,3.32415068517926,26,1.27776238658884,9.04492753623188,4.11649317136126,24,1.64694027391611
