"","mode1","mode2","error_pooled_sd","error_cohen_d","error_mean.x","error_sd.x","N.x","error_ci95.x","error_mean.y","error_sd.y","N.y","error_ci95.y"
"1","Fully open","No meter",7.81175591039144,0.230435571840102,15.3463203463203,6.78694831947606,22,2.83608519741837,17.1464267866067,8.6778081387264,24,3.47184633085628
"2","Fully open","Unlimited meter",6.66351421726366,0.0654569057945267,15.3463203463203,6.78694831947606,22,2.83608519741837,15.7824933687003,6.55803440665884,26,2.52082726939684
"3","Fully open","High limit",6.92337385541191,-0.364823217488557,15.3463203463203,6.78694831947606,22,2.83608519741837,12.8205128205128,7.03592733790461,26,2.70452339818097
"4","Fully open","Low limit",8.47241812924699,0.450060406057134,15.3463203463203,6.78694831947606,22,2.83608519741837,19.1594202898551,9.81488745785079,24,3.92677280524754
"5","No meter","Unlimited meter",7.62399790695792,-0.178900025229763,17.1464267866067,8.6778081387264,24,3.47184633085628,15.7824933687003,6.55803440665884,26,2.52082726939684
"6","No meter","High limit",7.84735031530545,-0.551257914108489,17.1464267866067,8.6778081387264,24,3.47184633085628,12.8205128205128,7.03592733790461,26,2.70452339818097
"7","No meter","Low limit",9.26381049846182,0.217296489774118,17.1464267866067,8.6778081387264,24,3.47184633085628,19.1594202898551,9.81488745785079,24,3.92677280524754
"8","Unlimited meter","High limit",6.80117963235771,-0.435509824515639,15.7824933687003,6.55803440665884,26,2.52082726939684,12.8205128205128,7.03592733790461,26,2.70452339818097
"9","Unlimited meter","Low limit",8.2442755507945,0.409608691551967,15.7824933687003,6.55803440665884,26,2.52082726939684,19.1594202898551,9.81488745785079,24,3.92677280524754
"10","High limit","Low limit",8.45125092771796,0.750055527111642,12.8205128205128,7.03592733790461,26,2.70452339818097,19.1594202898551,9.81488745785079,24,3.92677280524754
