u_id,date
190,2018-04-02T18:40:15Z
239,2018-04-02T18:45:02Z
8,2018-04-02T18:57:23Z
49,2018-04-02T18:58:00Z
112,2018-04-02T18:58:27Z
7,2018-04-02T18:58:28Z
191,2018-04-02T18:58:28Z
225,2018-04-02T18:58:29Z
100,2018-04-02T18:58:34Z
79,2018-04-02T18:58:36Z
207,2018-04-02T18:58:57Z
85,2018-04-02T18:59:37Z
131,2018-04-02T18:59:39Z
153,2018-04-02T18:59:44Z
213,2018-04-02T19:00:06Z
93,2018-04-02T19:00:10Z
16,2018-04-02T19:00:38Z
55,2018-04-02T19:00:46Z
34,2018-04-02T19:00:51Z
162,2018-04-02T19:00:57Z
149,2018-04-02T19:01:18Z
125,2018-04-02T19:02:00Z
59,2018-04-02T19:03:33Z
233,2018-04-02T19:03:42Z
26,2018-04-02T19:05:11Z
209,2018-04-02T19:20:10Z
111,2018-04-03T21:26:38Z
9,2018-04-03T21:26:39Z
110,2018-04-03T21:26:39Z
179,2018-04-03T21:26:39Z
15,2018-04-03T21:26:40Z
151,2018-04-03T21:26:40Z
173,2018-04-03T21:26:40Z
6,2018-04-03T21:26:41Z
210,2018-04-03T21:26:53Z
119,2018-04-03T21:27:07Z
160,2018-04-03T21:29:03Z
132,2018-04-03T21:29:59Z
214,2018-04-03T21:30:01Z
61,2018-04-03T21:30:05Z
200,2018-04-03T21:30:45Z
202,2018-04-03T21:31:05Z
82,2018-04-03T21:31:41Z
48,2018-04-03T21:31:59Z
78,2018-04-03T21:32:56Z
167,2018-04-03T21:32:57Z
41,2018-04-03T21:33:14Z
102,2018-04-03T21:33:47Z
232,2018-04-03T21:35:12Z
52,2018-04-03T21:38:09Z
127,2018-04-03T21:38:11Z
62,2018-04-03T21:45:59Z
121,2018-04-06T18:50:22Z
352,2018-04-06T19:02:30Z
87,2018-04-06T19:02:31Z
211,2018-04-06T19:02:31Z
315,2018-04-06T19:02:33Z
329,2018-04-06T19:02:34Z
309,2018-04-06T19:02:36Z
197,2018-04-06T19:02:37Z
337,2018-04-06T19:02:47Z
261,2018-04-06T19:02:49Z
280,2018-04-06T19:03:05Z
341,2018-04-06T19:03:05Z
291,2018-04-06T19:03:07Z
351,2018-04-06T19:03:10Z
295,2018-04-06T19:03:14Z
73,2018-04-06T19:03:56Z
354,2018-04-06T19:06:23Z
298,2018-04-06T19:06:49Z
296,2018-04-06T19:07:09Z
252,2018-04-06T19:07:11Z
5,2018-04-06T19:07:44Z
266,2018-04-06T19:08:20Z
2001,2018-04-06T19:12:00Z
223,2018-04-06T19:12:04Z
185,2018-04-06T19:45:05Z
141,2018-04-06T20:16:40Z
350,2018-04-06T21:27:12Z
317,2018-04-06T21:27:46Z
306,2018-04-06T21:28:17Z
310,2018-04-06T21:28:45Z
274,2018-04-06T21:31:29Z
250,2018-04-06T21:32:48Z
2002,2018-04-06T21:32:59Z
192,2018-04-06T21:33:21Z
30,2018-04-06T21:34:06Z
165,2018-04-06T21:34:35Z
258,2018-04-06T21:34:40Z
284,2018-04-06T21:35:58Z
147,2018-04-06T21:36:11Z
271,2018-04-06T21:36:15Z
292,2018-04-06T21:36:21Z
77,2018-04-06T21:36:51Z
356,2018-04-06T21:37:36Z
304,2018-04-06T21:38:30Z
283,2018-04-06T21:38:55Z
320,2018-04-06T21:40:12Z
242,2018-04-06T21:41:30Z
157,2018-04-06T21:47:48Z
28,2018-04-07T18:48:42Z
130,2018-04-07T18:49:55Z
99,2018-04-07T18:50:06Z
91,2018-04-07T18:50:30Z
282,2018-04-07T18:50:32Z
243,2018-04-07T18:52:46Z
323,2018-04-07T18:55:44Z
318,2018-04-07T18:56:53Z
265,2018-04-07T18:57:15Z
285,2018-04-07T18:59:17Z
249,2018-04-07T18:59:56Z
122,2018-04-07T19:00:36Z
108,2018-04-07T19:00:52Z
312,2018-04-07T19:02:57Z
262,2018-04-07T19:05:50Z
268,2018-04-07T19:06:56Z
276,2018-04-07T19:10:05Z
51,2018-04-07T19:12:06Z
273,2018-04-07T19:12:45Z
81,2018-04-07T19:13:14Z
90,2018-04-07T19:13:39Z
254,2018-04-07T19:17:48Z
