u_id,section_2_duration
5,5.83333333333333
6,5.93333333333333
7,6.25
8,21.3333333333333
9,6.58333333333333
15,10.15
16,9.63333333333333
26,10.7666666666667
28,6.23333333333333
30,4.38333333333333
34,8.46666666666667
41,14.3333333333333
48,11.1
49,9.65
51,11.6
52,14.4666666666667
55,9.13333333333333
59,11.5166666666667
61,5.33333333333333
62,9.15
73,16.4166666666667
77,10.9333333333333
78,7.85
79,7.45
81,10.3666666666667
82,11.35
85,12.15
87,5.18333333333333
90,5.31666666666667
91,6.11666666666667
93,13.1166666666667
99,6.86666666666667
100,7.5
102,8.6
108,6.18333333333333
110,16.4833333333333
111,9.33333333333333
112,8.28333333333333
119,7.16666666666667
121,12.7166666666667
122,10.9166666666667
125,10.3333333333333
127,9.48333333333333
130,7.56666666666667
131,11.0833333333333
132,6
141,11.45
147,8.56666666666667
149,16.95
151,4.65
153,9.85
157,4.53333333333333
160,14.05
162,8.73333333333333
165,14.9666666666667
167,11.95
173,5.3
179,10.0666666666667
185,12.5
190,8.88333333333333
191,11.9666666666667
192,5.88333333333333
197,11.9333333333333
200,9.93333333333333
202,17.6166666666667
207,14.5333333333333
209,10.4833333333333
210,15.85
211,8.7
213,14.8166666666667
214,10.75
223,9.1
225,13.9666666666667
232,8.33333333333333
233,12.15
239,7.86666666666667
242,7.58333333333333
243,16.1333333333333
249,7.21666666666667
250,19.7
252,8.05
254,13.3833333333333
258,9.48333333333333
261,5.76666666666667
262,11.1833333333333
265,6.95
266,7.56666666666667
268,9.08333333333333
271,8.96666666666667
273,6.48333333333333
274,8.38333333333333
276,3.38333333333333
280,4.81666666666667
282,16.5
283,3.7
284,10.55
285,6.25
291,8.58333333333333
292,11.8
295,9.1
296,2.78333333333333
298,3.73333333333333
304,4.38333333333333
306,10.1666666666667
309,7.46666666666667
310,16.0833333333333
312,5.76666666666667
315,7.01666666666667
317,9.78333333333333
318,6.28333333333333
320,11.85
323,8.83333333333333
329,8.7
337,5.16666666666667
341,12.7
350,6.28333333333333
351,5.16666666666667
352,13.6333333333333
354,6.21666666666667
356,7.96666666666667
2001,12.8166666666667
2002,4.95
