u_id,mode,mode_description
79,4,Clickable & meter with high limit
16,4,Clickable & meter with high limit
55,4,Clickable & meter with high limit
125,4,Clickable & meter with high limit
207,4,Clickable & meter with high limit
8,4,Clickable & meter with high limit
85,4,Clickable & meter with high limit
93,4,Clickable & meter with high limit
131,4,Clickable & meter with high limit
7,4,Clickable & meter with high limit
82,3,Clickable & meter with no limit
9,3,Clickable & meter with no limit
132,3,Clickable & meter with no limit
179,3,Clickable & meter with no limit
110,3,Clickable & meter with no limit
78,3,Clickable & meter with no limit
61,3,Clickable & meter with no limit
111,3,Clickable & meter with no limit
127,3,Clickable & meter with no limit
271,5,Clickable & meter wih limit
296,2,Clickable w/out meter
295,2,Clickable w/out meter
306,5,Clickable & meter wih limit
185,2,Clickable w/out meter
350,5,Clickable & meter wih limit
291,2,Clickable w/out meter
197,2,Clickable w/out meter
310,5,Clickable & meter wih limit
165,5,Clickable & meter wih limit
315,2,Clickable w/out meter
254,1,Full disclosure
262,1,Full disclosure
282,1,Full disclosure
243,1,Full disclosure
318,1,Full disclosure
268,1,Full disclosure
99,1,Full disclosure
28,1,Full disclosure
100,4,Clickable & meter with high limit
153,4,Clickable & meter with high limit
225,4,Clickable & meter with high limit
149,4,Clickable & meter with high limit
112,4,Clickable & meter with high limit
190,4,Clickable & meter with high limit
41,3,Clickable & meter with no limit
62,3,Clickable & meter with no limit
202,3,Clickable & meter with no limit
160,3,Clickable & meter with no limit
214,3,Clickable & meter with no limit
167,3,Clickable & meter with no limit
210,3,Clickable & meter with no limit
48,3,Clickable & meter with no limit
102,3,Clickable & meter with no limit
52,3,Clickable & meter with no limit
157,5,Clickable & meter wih limit
341,2,Clickable w/out meter
121,2,Clickable w/out meter
354,2,Clickable w/out meter
211,2,Clickable w/out meter
73,2,Clickable w/out meter
352,2,Clickable w/out meter
266,2,Clickable w/out meter
320,5,Clickable & meter wih limit
242,5,Clickable & meter wih limit
292,5,Clickable & meter wih limit
298,2,Clickable w/out meter
2001,2,Clickable w/out meter
304,5,Clickable & meter wih limit
284,5,Clickable & meter wih limit
351,2,Clickable w/out meter
192,5,Clickable & meter wih limit
223,2,Clickable w/out meter
87,2,Clickable w/out meter
252,2,Clickable w/out meter
356,5,Clickable & meter wih limit
147,5,Clickable & meter wih limit
329,2,Clickable w/out meter
77,5,Clickable & meter wih limit
141,5,Clickable & meter wih limit
312,1,Full disclosure
81,1,Full disclosure
265,1,Full disclosure
273,1,Full disclosure
285,1,Full disclosure
276,1,Full disclosure
122,1,Full disclosure
108,1,Full disclosure
91,1,Full disclosure
249,1,Full disclosure
323,1,Full disclosure
90,1,Full disclosure
209,4,Clickable & meter with high limit
213,4,Clickable & meter with high limit
239,4,Clickable & meter with high limit
49,4,Clickable & meter with high limit
191,4,Clickable & meter with high limit
34,4,Clickable & meter with high limit
233,4,Clickable & meter with high limit
26,4,Clickable & meter with high limit
59,4,Clickable & meter with high limit
162,4,Clickable & meter with high limit
200,3,Clickable & meter with no limit
6,3,Clickable & meter with no limit
15,3,Clickable & meter with no limit
173,3,Clickable & meter with no limit
151,3,Clickable & meter with no limit
232,3,Clickable & meter with no limit
119,3,Clickable & meter with no limit
280,2,Clickable w/out meter
337,5,Clickable & meter wih limit
283,5,Clickable & meter wih limit
2002,5,Clickable & meter wih limit
5,2,Clickable w/out meter
258,5,Clickable & meter wih limit
261,2,Clickable w/out meter
274,5,Clickable & meter wih limit
317,5,Clickable & meter wih limit
30,5,Clickable & meter wih limit
250,5,Clickable & meter wih limit
309,2,Clickable w/out meter
51,1,Full disclosure
130,1,Full disclosure
